30.	100.	5080.	11440.	280.	10160.	12440.	300.	1000.	2000.	0.	0.	1000.	2000.	0.	0.	1000.	2000.	0.	0.	0.	0.
27.54	109.45	5072.42	11441.06	287.16	10158.98	12440.18	291.85	1010.37	1994.28	-8.73	-4.77	998.66	1988.09	2.99	9.11	999.8	1991.43	6.58	4.25	10.54	6.28
26.27	99.98	5076.36	11445.82	275.7	10151.02	12443.95	309.78	1011.36	2006.75	-8.56	11.99	1011.1	2011.48	11.17	-6.29	1011.26	2002.77	-6.06	-7.17	-4.11	4.68
33.45	107.09	5076.74	11444.34	278.26	10152.28	12446.56	305.92	1004.25	2005.81	-4.16	2.35	996.27	2010.59	-5.2	0.2	1009.21	1991.82	7.56	-4.6	2.43	-3.76
29.44	109.01	5088.48	11428.09	280.05	10171.17	12445.4	304.91	993.7	2000.28	-2.69	7.72	989.93	1990.33	0.67	4.29	1001.93	2000.41	6.69	-6.16	9.99	0.31
24.45	103.18	5079.16	11437.69	283.53	10169.38	12433.12	291.72	999.69	1993.12	-9.79	-5.56	1005.55	1999.3	5.05	7.44	1007.63	2006.58	11.13	-11.35	-9.71	1.8
33.2	105.72	5089.23	11449.84	276.47	10168.42	12433.92	289.7	999.81	2000.32	-3.25	5.62	1005.32	1998.36	-9.51	4.01	1006.47	2009.13	-0.89	-9.79	-5.62	3.27
33.09	89.77	5079.41	11447.56	274.34	10158.8	12428.54	303.	1011.02	2000.15	-8.86	8.54	1009.42	2006.06	9.45	5.12	997.18	2002.21	-7.55	-10.74	-10.49	2.57
28.68	104.91	5088.53	11440.78	273.4	10160.41	12438.49	305.89	991.	2011.35	0.06	-11.26	999.	2002.73	6.05	-4.4	1007.15	1988.24	0.83	2.	-8.6	-8.91
25.62	96.76	5079.49	11433.5	276.91	10164.85	12442.32	290.59	997.35	2001.22	-3.01	10.4	1001.37	2001.46	-1.97	-2.58	998.55	1988.16	-0.97	-0.64	5.25	-7.76
31.84	105.89	5079.21	11437.07	286.12	10171.17	12437.06	308.86	1008.83	1995.41	-7.27	-3.27	988.54	2004.55	-8.24	-11.1	990.8	2008.24	-8.65	-9.45	4.42	-8.8
31.53	109.1	5070.03	11446.73	273.72	10153.2	12451.48	309.37	1000.38	1988.78	-5.58	1.37	988.51	1998.1	-2.94	2.95	1003.81	2005.86	4.17	3.66	3.04	1.97
32.9	96.99	5085.17	11447.83	283.72	10169.02	12434.05	308.68	990.89	2009.43	3.82	6.96	1010.86	2005.46	1.91	5.45	1001.64	1994.65	10.33	6.25	-0.65	1.16
28.59	98.58	5077.98	11437.42	283.14	10153.03	12448.51	296.18	1003.34	1989.9	-8.85	7.	1000.42	1994.57	9.09	-11.74	1003.29	2001.96	-9.74	11.56	-10.27	-4.48
29.04	96.95	5074.22	11432.42	271.05	10158.55	12450.1	288.1	1010.49	2008.93	-0.25	-4.73	999.62	1990.14	11.3	-3.65	994.22	1994.78	8.39	2.24	-0.67	8.
32.93	105.3	5080.31	11435.92	291.14	10168.95	12438.09	294.92	994.65	2003.83	8.87	5.08	1003.23	1998.39	-3.28	-8.9	993.35	1988.42	-4.49	8.49	1.57	1.48
