30.	100.	5080.	11440.	280.	10160.	13440.	300.	50.	100.	0.	0.	50.	100.	0.	0.	50.	100.	0.	0.	0.	0.
27.54	109.45	5072.42	11441.06	287.16	10158.98	13440.18	291.85	60.37	94.28	-8.73	-4.77	48.66	88.09	2.99	9.11	49.8	91.43	6.58	4.25	10.54	6.28
26.27	99.98	5076.36	11445.82	275.7	10151.02	13443.95	309.78	61.36	106.75	-8.56	11.99	61.1	111.48	11.17	-6.29	61.26	102.77	-6.06	-7.17	-4.11	4.68
33.45	107.09	5076.74	11444.34	278.26	10152.28	13446.56	305.92	54.25	105.81	-4.16	2.35	46.27	110.59	-5.2	0.2	59.21	91.82	7.56	-4.6	2.43	-3.76
29.44	109.01	5088.48	11428.09	280.05	10171.17	13445.4	304.91	43.7	100.28	-2.69	7.72	39.93	90.33	0.67	4.29	51.93	100.41	6.69	-6.16	9.99	0.31
24.45	103.18	5079.16	11437.69	283.53	10169.38	13433.12	291.72	49.69	93.12	-9.79	-5.56	55.55	99.3	5.05	7.44	57.63	106.58	11.13	-11.35	-9.71	1.8
33.2	105.72	5089.23	11449.84	276.47	10168.42	13433.92	289.7	49.81	100.32	-3.25	5.62	55.32	98.36	-9.51	4.01	56.47	109.13	-0.89	-9.79	-5.62	3.27
33.09	89.77	5079.41	11447.56	274.34	10158.8	13428.54	303.	61.02	100.15	-8.86	8.54	59.42	106.06	9.45	5.12	47.18	102.21	-7.55	-10.74	-10.49	2.57
28.68	104.91	5088.53	11440.78	273.4	10160.41	13438.49	305.89	41.	111.35	0.06	-11.26	49.	102.73	6.05	-4.4	57.15	88.24	0.83	2.	-8.6	-8.91
25.62	96.76	5079.49	11433.5	276.91	10164.85	13442.32	290.59	47.35	101.22	-3.01	10.4	51.37	101.46	-1.97	-2.58	48.55	88.16	-0.97	-0.64	5.25	-7.76
31.84	105.89	5079.21	11437.07	286.12	10171.17	13437.06	308.86	58.83	95.41	-7.27	-3.27	38.54	104.55	-8.24	-11.1	40.8	108.24	-8.65	-9.45	4.42	-8.8
31.53	109.1	5070.03	11446.73	273.72	10153.2	13451.48	309.37	50.38	88.78	-5.58	1.37	38.51	98.1	-2.94	2.95	53.81	105.86	4.17	3.66	3.04	1.97
32.9	96.99	5085.17	11447.83	283.72	10169.02	13434.05	308.68	40.89	109.43	3.82	6.96	60.86	105.46	1.91	5.45	51.64	94.65	10.33	6.25	-0.65	1.16
28.59	98.58	5077.98	11437.42	283.14	10153.03	13448.51	296.18	53.34	89.9	-8.85	7.	50.42	94.57	9.09	-11.74	53.29	101.96	-9.74	11.56	-10.27	-4.48
29.04	96.95	5074.22	11432.42	271.05	10158.55	13450.1	288.1	60.49	108.93	-0.25	-4.73	49.62	90.14	11.3	-3.65	44.22	94.78	8.39	2.24	-0.67	8.
32.93	105.3	5080.31	11435.92	291.14	10168.95	13438.09	294.92	44.65	103.83	8.87	5.08	53.23	98.39	-3.28	-8.9	43.35	88.42	-4.49	8.49	1.57	1.48
26.59	100.78	5088.94	11432.46	284.01	10161.91	13430.92	291.74	43.45	94.26	9.93	-3.88	45.72	108.13	10.48	-10.49	48.13	99.73	-3.13	-1.29	9.4	-10.48
25.55	99.68	5076.42	11432.19	277.31	10167.81	13444.98	291.51	56.32	93.01	9.78	-5.46	57.82	109.95	-11.13	-4.49	50.07	105.83	0.02	7.85	-6.82	9.66
